image,160_x,160_y,160_z,160_r1,160_r2,160_r3,160_bb_x1,160_bb_y1,160_bb_x2,160_bb_y2,160_bb_x3,160_bb_y3,160_bb_x4,160_bb_y4,160_error,144_x,144_y,144_z,144_r1,144_r2,144_r3,144_bb_x1,144_bb_y1,144_bb_x2,144_bb_y2,144_bb_x3,144_bb_y3,144_bb_x4,144_bb_y4,144_error
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/12.png,2.87154,3.9676,3.18274,-2.04157,0.152155,1.84229,706.961,736.127,736.502,769.966,682.566,807.173,656.514,762.042,0.259686,-5.75573,-7.103,5.28635,-1.79445,-2.47854,0.616019,321.786,256.133,302.068,276.111,282.67,254.287,306.334,234.695,0.0734144
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/13.png,2.75529,3.9632,3.14232,-2.04532,0.1579,1.86506,702.7,739.241,731.99,773.75,676.404,810.679,651.306,764.668,0.261782,-5.75893,-7.13635,5.29855,-0.180241,-2.65247,0.770361,322.449,255.551,302.456,275.544,283.296,253.835,306.722,234.229,0.179585
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/14.png,2.68119,3.94937,3.11263,-2.04082,0.162184,1.87099,700.318,740.757,729.38,775.845,672.729,812.645,647.714,766.022,0.268539,-5.84285,-7.15333,5.33169,-0.197848,-2.65445,0.754674,320.668,256.084,301.04,276.619,281.579,255.264,305.261,235.489,0.18847
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/15.png,2.59927,3.92326,3.07436,-2.03793,0.181024,1.88686,697.733,742.227,726.839,777.897,668.797,814.734,644.332,767.476,0.266181,-5.91887,-7.16297,5.3613,-1.74931,-2.50455,0.59946,319.303,257.609,299.413,277.761,279.968,256.523,303.672,236.677,0.119014
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/16.png,2.5552,3.88247,3.04184,-2.03362,0.18937,1.88898,697.219,742.293,726.363,778.22,667.418,815.41,643,767.755,0.269259,-6.01028,-7.07142,5.35202,-1.74354,-2.50681,0.58009,315.644,260.153,295.979,280.533,276.439,260.006,299.741,239.477,0.0814518
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/17.png,2.48008,3.86395,3.00989,-2.03147,0.205496,1.90148,694.79,743.801,723.737,780.367,663.368,817.402,639.344,769.126,0.27314,-6.09281,-7.08446,5.38306,-1.75175,-2.50674,0.571194,313.768,260.855,294.576,281.966,275.162,261.136,298.332,240.668,0.126518
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/18.png,2.40206,3.84095,2.97545,-2.03519,0.206089,1.91061,692.196,745.278,721.044,782.548,659.158,819.35,635.912,770.326,0.288224,-6.22173,-7.15314,5.45955,-1.69602,-2.51508,0.600728,312.571,262.057,293.021,282.99,273.705,262.361,296.732,241.859,0.0829278
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/19.png,2.32489,3.81731,2.94037,-2.0346,0.216761,1.92385,689.544,746.846,718.183,784.641,655.051,821.34,632.286,771.708,0.28041,-6.27164,-7.12445,5.46101,-0.318987,-2.6453,0.761331,311.048,262.84,291.927,283.927,272.014,264.014,295.201,242.944,0.173128
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/20.png,2.24747,3.79175,2.90486,-2.03776,0.224189,1.93716,686.74,748.384,715.366,786.732,650.898,823.243,628.515,773.041,0.276307,-6.33462,-7.12207,5.48316,-1.71072,-2.51175,0.579727,309.612,263.954,290.117,285.344,270.769,264.781,293.84,244.41,0.0783394
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/21.png,2.1743,3.77168,2.87434,-2.03506,0.231042,1.94534,684.111,749.806,712.406,788.892,646.565,825.124,624.795,774.223,0.268216,-6.39155,-7.10228,5.49059,-1.71773,-2.51038,0.56272,308.173,265.001,289.09,286.091,269.27,266.27,292.273,245.566,0.0748717
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/22.png,2.09833,3.74628,2.84026,-2.03969,0.239172,1.95845,681.304,751.283,709.422,791.003,642.094,826.986,621.054,775.425,0.294796,-6.45464,-7.09026,5.50649,-1.69881,-2.52907,0.549904,306.639,265.943,287.458,287.458,267.819,267.819,290.698,246.659,0.102191
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/23.png,2.02771,3.72938,2.81248,-2.03827,0.243398,1.96853,678.448,752.826,706.373,793.087,637.67,828.804,617.175,776.681,0.291309,-6.52402,-7.08045,5.52516,-0.376996,-2.62175,0.798285,305.206,267.304,286.024,288.495,266.173,269.386,289.326,247.857,0.155938
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/24.png,1.94954,3.70111,2.77601,-2.0434,0.251084,1.98266,675.361,754.349,703.131,795.327,633.054,830.523,613.06,777.891,0.2726,-6.57035,-7.05604,5.53021,-0.406969,-2.63191,0.765813,303.804,267.932,284.749,289.749,265.362,270.362,287.645,249.202,0.152932
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/25.png,1.87682,3.67984,2.74628,-2.04922,0.251903,1.99427,672.313,755.947,699.981,797.496,628.195,832.267,609.047,778.986,0.294189,-6.67291,-7.09371,5.582,-0.453083,-2.61607,0.809419,302.408,268.979,283.621,290.626,263.738,271.924,286.462,250.315,0.122319
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/26.png,1.80308,3.6575,2.71593,-2.05099,0.253494,2.00165,669.284,757.365,696.352,799.682,623.4,834.079,604.936,780.227,0.286717,-6.75346,-7.11117,5.61656,-1.67319,-2.55379,0.50976,301.198,270.159,282.176,291.796,262.691,273.013,285.255,251.383,0.0861923
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/27.png,1.73371,3.63838,2.68804,-2.0554,0.253939,2.012,666.133,758.908,692.986,801.849,618.656,835.669,600.827,781.367,0.272503,-6.77625,-7.06155,5.60163,-1.68398,-2.52627,0.53822,299.839,270.98,281.008,292.721,261.487,274.302,283.871,252.582,0.0982521
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/28.png,1.66336,3.61451,2.65845,-2.06167,0.260217,2.0263,662.992,760.459,689.662,803.894,613.798,837.22,596.7,782.378,0.276746,-6.85612,-7.07426,5.63704,-1.64583,-2.52352,0.572244,298.647,271.993,279.69,293.819,260.35,275.57,282.442,253.733,0.101129
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/29.png,1.595,3.59627,2.6325,-2.06788,0.26045,2.0358,659.773,761.928,686.004,806.061,608.837,838.7,592.506,783.384,0.278386,-6.93605,-7.08722,5.67107,-1.62013,-2.5463,0.545806,297.462,272.916,278.472,294.797,259.279,276.721,281.179,254.821,0.0670483
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/30.png,1.55803,3.5637,2.60665,-2.06867,0.266718,2.04218,658.609,762.176,685.007,806.7,606.545,839.429,590.6,783.579,0.277197,-7.04366,-7.01105,5.67839,-1.66963,-2.55244,0.478043,294.158,275.492,275.752,297.774,256.004,279.996,278.042,257.958,0.083426
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/31.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.12705,-7.02669,5.71439,-1.67571,-2.53148,0.516187,292.973,276.387,274.543,298.724,254.823,281.177,276.777,259.223,0.0567631
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/32.png,1.42892,3.52661,2.55745,-2.07885,0.263879,2.05858,652.161,764.912,677.803,810.759,596.751,842.064,582.373,785.396,0.279244,-7.19792,-7.0253,5.74019,-0.593173,-2.598,0.793131,291.813,277.449,273.27,299.976,254.193,282.371,275.493,260.239,0.159307
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/33.png,1.36623,3.50762,2.53384,-2.0866,0.263588,2.07141,648.912,766.136,674.149,812.664,591.843,843.339,578.26,786.27,0.275869,-7.26712,-7.02552,5.76537,-0.657969,-2.58405,0.807916,290.318,278.606,272.311,300.937,252.8,283.754,274.261,260.995,0.115447
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/34.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.30049,-6.99233,5.76343,-1.61669,-2.55738,0.495365,289.4,279.4,271.084,301.786,251.646,285.184,272.484,262.484,0.0761243
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/35.png,1.23929,3.47265,2.48913,-2.09588,0.261047,2.0889,642.157,768.932,666.293,816.74,581.572,845.659,569.441,787.71,0.267627,-7.39078,-7.01074,5.80159,-1.61359,-2.55915,0.48285,288.23,280.23,269.929,302.91,250.627,286.205,271.484,263.484,0.104386
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/36.png,1.20487,3.44395,2.46629,-2.0977,0.267334,2.09344,640.864,769.258,664.994,817.455,578.997,846.168,567.364,787.99,0.276633,-7.48384,-6.91692,5.79938,-1.63899,-2.56452,0.430476,285.082,283.082,267.293,305.986,247.58,289.608,268.498,266.498,0.118786
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/37.png,1.1731,3.41984,2.44721,-2.10007,0.27105,2.09868,639.493,769.457,663.745,818.025,576.597,846.667,565.33,788.277,0.249407,-7.59946,-6.84503,5.81737,-1.64251,-2.56284,0.428297,282.06,286.06,264.393,309.012,244.846,292.997,265.507,269.507,0.0989644
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/38.png,1.08274,3.41207,2.42581,-2.11103,0.259539,2.11194,633.622,771.936,656.909,821.355,568.475,848.166,558.596,789.31,0.257579,-7.57633,-6.8803,5.81789,-1.63355,-2.56961,0.426122,282.908,284.908,265.127,307.831,245.717,291.962,266.46,268.46,0.109143
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/39.png,1.05426,3.39385,2.41152,-2.11124,0.263986,2.11506,632.235,772.168,655.416,821.899,566.019,848.63,556.649,789.446,0.249977,-7.74651,-6.85216,5.87479,-0.743772,-2.49433,0.894121,280.01,287.659,262.433,310.974,242.809,295.319,262.939,272.17,0.147573
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/40.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.79023,-6.83399,5.88469,-1.60617,-2.59079,0.390773,278.911,288.619,261.432,312.033,242.079,296.415,261.817,273.134,0.110786
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/41.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.84626,-6.82369,5.90083,-1.61344,-2.58867,0.383421,277.856,289.644,260.403,313.009,241.19,297.504,260.876,274.237,0.0987054
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/42.png,0.851413,3.36055,2.36023,-2.13882,0.236654,2.14437,618.945,776.674,640.097,828.582,547.216,851.168,541.006,791.306,0.25129,-7.8081,-6.85034,5.89231,-1.59897,-2.59225,0.394954,278.718,288.612,261.245,311.666,241.881,296.334,262.041,273.045,0.100784
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/43.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.96091,-6.80688,5.93673,-1.6028,-2.59426,0.375024,275.527,291.61,258.629,314.972,239.164,299.708,259.061,276.241,0.111413
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/44.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.00582,-6.78832,5.94624,-1.61682,-2.59133,0.363949,274.721,292.521,257.735,315.687,238.277,300.821,258.008,277.357,0.107414
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/45.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.11632,-6.82453,6.00389,-1.59653,-2.59794,0.371813,273.525,293.27,256.979,316.755,237.472,302.03,257.096,278.387,0.119171
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/46.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.15196,-6.79809,6.00602,-1.60927,-2.59139,0.360078,272.547,294.239,256.045,317.662,236.613,303.183,256.166,279.376,0.125862
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/47.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.22856,-6.80538,6.03827,-1.58655,-2.59597,0.360692,271.581,295.243,255.09,318.493,235.92,304.07,255.181,280.29,0.094458
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/48.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.28969,-6.80287,6.06037,-1.52622,-2.61501,0.366333,270.69,296.099,254.248,319.342,234.971,305.118,254.218,281.444,0.0805668
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/49.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.29031,-6.74895,6.03725,-0.921999,-2.42762,0.926582,269.827,296.998,253.387,320.106,234.409,306.289,253.063,282.28,0.119214
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/50.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.37882,-6.77069,6.08264,-0.973134,-2.41893,0.920245,268.889,297.705,252.684,321.31,233.644,307.248,252.221,283.39,0.121359
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/51.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.39973,-6.7384,6.07821,-1.4574,-2.65072,0.320465,267.96,298.615,251.789,322.129,232.87,308.256,251.472,284.261,0.101922
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/52.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.39515,-6.68286,6.05421,-1.53726,-2.65704,0.248467,266.996,299.563,251.023,322.788,231.865,309.333,250.799,285.247,0.0714031
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/53.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.56908,-6.64454,6.1108,-1.55327,-2.63189,0.280027,264.22,302.52,248.63,326.094,229.587,312.763,247.716,288.492,0.117902
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/54.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.63082,-6.64164,6.13529,-1.52886,-2.60967,0.325119,263.263,303.349,247.832,327.04,228.871,313.734,246.953,289.37,0.124682
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/55.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.65479,-6.61444,6.13359,-0.968588,-2.3562,0.979753,262.407,304.062,247.095,327.841,228.24,314.642,246.015,290.422,0.126205
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/56.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.66496,-6.57489,6.12515,-1.53719,-2.66547,0.239031,261.828,305.008,246.176,328.615,227.679,315.578,245.263,291.317,0.0681169
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/57.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.72569,-6.57268,6.14389,-0.999517,-2.33525,0.989543,261.015,305.862,245.645,329.252,226.727,316.607,244.644,292.308,0.126697
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/58.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.75437,-6.54645,6.1447,-0.976559,-2.34889,0.972072,260.051,306.614,244.833,330.248,226.19,317.394,243.872,293.324,0.137363
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/59.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.8124,-6.42048,6.12859,-1.5923,-2.66001,0.17349,257.507,309.851,242.597,333.355,223.671,321.335,241.084,296.568,0.0498986
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/60.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.86772,-6.41733,6.14873,-1.53858,-2.66072,0.20423,256.79,310.559,241.883,334.166,223.104,321.91,240.442,297.625,0.126048
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/61.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.92171,-6.41788,6.16759,-0.980553,-2.29186,1.02102,256.029,311.203,241.178,334.792,222.608,322.873,239.667,298.29,0.0776984
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/62.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.95661,-6.51882,6.21435,-0.918025,-2.32715,1.00446,257.052,309.642,242.302,332.966,223.645,321.215,240.926,296.741,0.0998913
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/63.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.04652,-6.42503,6.22346,-1.03001,-2.30775,0.98991,254.757,312.679,239.959,336.115,221.513,324.598,238.294,299.92,0.124505
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/64.png,-0.205272,3.25653,2.23909,2.17292,-0.0369287,-2.16697,536.732,791.604,542.358,851.938,440.741,846.009,453.094,788.027,0.228119,-9.1606,-6.45911,6.28089,-0.965479,-2.30079,1.00516,253.894,313.451,239.319,336.976,220.885,325.366,237.62,300.839,0.0555465
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/65.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.06735,-6.46774,6.23629,-0.991275,-2.27564,1.03236,254.797,312.015,240.09,335.703,221.889,323.737,238.633,299.546,0.111205
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/66.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.09138,-6.43769,6.23713,-1.03234,-2.25028,1.07312,254.056,312.91,239.49,336.235,221.166,324.822,237.953,300.431,0.111723
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/67.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.06558,-6.3758,6.20254,-1.07503,-2.25065,1.05814,253.287,313.675,238.848,337.092,220.615,325.727,237.13,301.441,0.0905934
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/68.png,-0.476553,3.27226,2.2635,2.14799,0.0401683,-2.13433,513.971,792.534,514.07,853.004,414.708,839.675,431.419,783.608,0.218746,-9.05835,-6.43689,6.21727,-1.50614,-2.71065,0.120645,254.167,312.3,239.566,335.8,221.737,324.208,238.054,299.87,0.124978
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/69.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.26053,-6.53532,6.33596,-1.06617,-2.26038,1.03361,253.359,313.1,238.967,336.593,220.949,325.046,237.501,300.936,0.0870803
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/70.png,-0.590445,3.30917,2.28674,-1.4115,-1.21956,1.5583,504.415,792.378,502.95,852.816,404.78,836.667,423.124,781.586,0.846915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/71.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.28904,-6.4626,6.32163,-1.54011,-2.69535,0.125464,251.884,314.854,237.527,338.1,219.728,326.914,236.16,302.78,0.0934602
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/72.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.3774,-6.48289,6.36486,-1.07917,-2.25261,1.02745,251.114,315.743,236.98,338.813,219.111,327.969,235.253,303.734,0.114486
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/73.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.4056,-6.45345,6.36468,-1.59938,-2.66829,0.137246,250.382,316.372,236.261,339.772,218.594,328.686,234.674,304.669,0.0558205
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/74.png,-0.820354,3.34955,2.33723,-1.41184,-1.28772,1.60522,485.881,791.456,480.429,851.462,385.926,829.891,406.887,777.221,0.836548,-9.39644,-6.40059,6.33726,-1.03853,-2.21484,1.09631,249.483,317.232,235.763,340.489,217.952,329.736,234.009,305.567,0.126891
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/75.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.50438,-6.43456,6.39854,-1.04173,-2.22334,1.07066,248.97,317.978,235.024,341.191,217.415,330.703,233.222,306.561,0.0848527
